OpType,ThreadsPerBlock,Shmem_KB,MeanLatency_cycles,MinLatency_cycles
FMUL,32,0,4.6,4.06
FMUL,32,4,4.6,4.06
FMUL,32,8,4.6,4.06
FMUL,32,16,4.49,4.06
FMUL,32,32,4.06,4.06
FMUL,32,48,4.06,4.06
FMUL,32,64,4.06,4.06
FMUL,32,72,4.06,4.06
FMUL,32,80,4.06,4.06
FMUL,32,96,4.06,4.06
FMUL,64,0,6.8,4.06
FMUL,64,4,6.8,4.06
FMUL,64,8,6.8,4.06
FMUL,64,16,6.7,4.06
FMUL,64,32,4.06,4.06
FMUL,64,48,4.06,4.06
FMUL,64,64,4.06,4.06
FMUL,64,72,4.06,4.06
FMUL,64,80,4.06,4.06
FMUL,64,96,4.06,4.06
FMUL,128,0,11.33,4.07
FMUL,128,4,11.33,4.07
FMUL,128,8,11.33,4.07
FMUL,128,16,11.23,4.07
FMUL,128,32,7.01,4.06
FMUL,128,48,5.73,4.06
FMUL,128,64,4.06,4.06
FMUL,128,72,4.06,4.06
FMUL,128,80,4.06,4.06
FMUL,128,96,4.06,4.06
FMUL,256,0,19.79,4.07
FMUL,256,4,19.23,4.07
FMUL,256,8,19.8,4.07
FMUL,256,16,19.8,4.07
FMUL,256,32,13.1,4.07
FMUL,256,48,10.33,4.07
FMUL,256,64,7.58,4.07
FMUL,256,72,7.58,4.07
FMUL,256,80,7.58,4.07
FMUL,256,96,4.06,4.06
