OpType,ThreadsPerBlock,Shmem_KB,MeanLatency_cycles,MinLatency_cycles
FADD,32,0,4.60,4.06
FADD,32,4,4.60,4.06
FADD,32,8,4.60,4.06
FADD,32,16,4.49,4.06
FADD,32,32,4.06,4.06
FADD,32,48,4.06,4.06
FADD,32,64,4.06,4.06
FADD,32,72,4.06,4.06
FADD,32,80,4.06,4.06
FADD,32,96,4.06,4.06
FADD,64,0,6.80,4.06
FADD,64,4,6.80,4.06
FADD,64,8,6.80,4.06
FADD,64,16,6.70,4.06
FADD,64,32,4.06,4.06
FADD,64,48,4.06,4.06
FADD,64,64,4.06,4.06
FADD,64,72,4.06,4.06
FADD,64,80,4.06,4.06
FADD,64,96,4.06,4.06
FADD,128,0,11.33,4.06
FADD,128,4,11.33,4.06
FADD,128,8,11.33,4.06
FADD,128,16,11.24,4.06
FADD,128,32,7.04,4.06
FADD,128,48,5.74,4.06
FADD,128,64,4.06,4.06
FADD,128,72,4.06,4.06
FADD,128,80,4.06,4.06
FADD,128,96,4.06,4.06
FADD,256,0,19.81,4.07
FADD,256,4,19.81,4.07
FADD,256,8,19.81,4.07
FADD,256,16,19.81,4.07
FADD,256,32,13.10,4.07
FADD,256,48,10.32,4.07
FADD,256,64,7.58,4.06
FADD,256,72,7.58,4.06
FADD,256,80,7.58,4.06
FADD,256,96,4.06,4.06
FMUL,32,0,4.60,4.06
FMUL,32,4,4.60,4.06
FMUL,32,8,4.60,4.06
FMUL,32,16,4.49,4.06
FMUL,32,32,4.06,4.06
FMUL,32,48,4.06,4.06
FMUL,32,64,4.06,4.06
FMUL,32,72,4.06,4.06
FMUL,32,80,4.06,4.06
FMUL,32,96,4.06,4.06
FMUL,64,0,6.80,4.06
FMUL,64,4,6.80,4.06
FMUL,64,8,6.80,4.06
FMUL,64,16,6.70,4.06
FMUL,64,32,4.06,4.06
FMUL,64,48,4.06,4.06
FMUL,64,64,4.06,4.06
FMUL,64,72,4.06,4.06
FMUL,64,80,4.06,4.06
FMUL,64,96,4.06,4.06
FMUL,128,0,11.33,4.07
FMUL,128,4,11.33,4.07
FMUL,128,8,11.33,4.07
FMUL,128,16,11.23,4.07
FMUL,128,32,7.01,4.06
FMUL,128,48,5.73,4.06
FMUL,128,64,4.06,4.06
FMUL,128,72,4.06,4.06
FMUL,128,80,4.06,4.06
FMUL,128,96,4.06,4.06
FMUL,256,0,19.79,4.07
FMUL,256,4,19.23,4.07
FMUL,256,8,19.80,4.07
FMUL,256,16,19.80,4.07
FMUL,256,32,13.10,4.07
FMUL,256,48,10.33,4.07
FMUL,256,64,7.58,4.07
FMUL,256,72,7.58,4.07
FMUL,256,80,7.58,4.07
FMUL,256,96,4.06,4.06
FMA,32,0,4.63,4.09
FMA,32,4,4.63,4.09
FMA,32,8,4.63,4.09
FMA,32,16,4.53,4.09
FMA,32,32,4.09,4.09
FMA,32,48,4.09,4.09
FMA,32,64,4.09,4.09
FMA,32,72,4.09,4.09
FMA,32,80,4.09,4.09
FMA,32,96,4.09,4.09
FMA,64,0,6.83,4.10
FMA,64,4,6.83,4.10
FMA,64,8,6.83,4.10
FMA,64,16,6.73,4.10
FMA,64,32,4.10,4.09
FMA,64,48,4.10,4.09
FMA,64,64,4.09,4.09
FMA,64,72,4.09,4.09
FMA,64,80,4.09,4.09
FMA,64,96,4.09,4.09
FMA,128,0,11.36,4.10
FMA,128,4,11.37,4.10
FMA,128,8,11.37,4.10
FMA,128,16,11.25,4.10
FMA,128,32,7.03,4.10
FMA,128,48,5.75,4.10
FMA,128,64,4.10,4.09
FMA,128,72,4.10,4.09
FMA,128,80,4.10,4.09
FMA,128,96,4.09,4.09
FMA,256,0,19.85,4.10
FMA,256,4,19.85,4.10
FMA,256,8,19.86,4.10
FMA,256,16,19.63,4.10
FMA,256,32,13.12,4.10
FMA,256,48,10.36,4.10
FMA,256,64,7.58,4.10
FMA,256,72,7.58,4.10
FMA,256,80,7.58,4.10
FMA,256,96,4.11,4.09
