ThreadsPerBlock,Shmem_KB,MeanLatency_cycles,MinLatency_cycles
32,0,492.97,488.89
32,4,493.61,491.67
32,8,492.77,490.77
32,16,484.40,201.54
32,32,333.42,194.08
32,48,301.91,195.40
32,64,271.93,195.34
32,80,271.96,195.33
32,96,241.36,194.31
64,0,503.52,500.88
64,4,503.53,501.11
64,8,503.58,500.81
64,16,498.24,205.09
64,32,338.52,195.65
64,48,304.91,196.05
64,64,274.45,195.99
64,80,274.35,195.64
64,96,243.68,195.57
128,0,526.12,519.75
128,4,527.05,521.17
128,8,526.88,522.03
128,16,522.95,224.73
128,32,383.52,252.40
128,48,362.50,221.26
128,64,334.21,244.25
128,80,332.86,243.02
128,96,305.82,209.88
256,0,528.22,508.54
256,4,529.33,512.77
256,8,530.24,512.03
256,16,539.80,507.39
256,32,511.87,504.38
256,48,524.85,514.83
256,64,514.71,504.13
256,80,514.74,502.54
256,96,562.51,519.61
512,0,552.82,540.31
512,4,552.98,540.35
512,8,553.56,540.72
512,16,553.22,540.85
512,32,553.22,540.02
512,48,550.77,543.53
512,64,543.36,529.56
512,80,543.26,529.90
512,96,602.14,562.10
