ThreadsPerBlock,Shmem_KB,MeanLatency_cycles,MinLatency_cycles
32,0,451.93,439.13
32,4,458.22,455.25
32,8,457.95,454.56
32,16,451.22,224.93
32,32,320.50,202.45
32,48,295.27,204.11
32,64,271.00,204.05
32,72,270.95,203.99
32,80,270.89,203.99
32,96,246.40,204.05
64,0,467.11,447.45
64,4,469.79,462.07
64,8,467.27,461.39
64,16,460.52,209.46
64,32,324.36,202.66
64,48,297.06,200.22
64,64,269.64,198.45
64,72,269.73,198.31
64,80,269.35,198.34
64,96,243.79,198.33
128,0,475.86,470.07
128,4,477.52,474.39
128,8,476.24,472.38
128,16,468.50,205.45
128,32,328.15,204.72
128,48,301.77,202.65
128,64,272.63,200.17
128,72,274.79,200.05
128,80,272.43,200.15
128,96,251.55,198.88
256,0,457.75,266.56
256,4,459.89,259.56
256,8,456.29,258.33
256,16,456.12,260.09
256,32,378.74,260.36
256,48,353.50,230.33
256,64,331.03,251.18
256,72,331.17,251.42
256,80,331.45,249.80
256,96,304.14,218.59
512,0,517.65,501.20
512,4,517.35,500.70
512,8,516.32,500.61
512,16,517.44,500.77
512,32,517.12,500.12
512,48,514.86,490.74
512,64,513.67,500.66
512,72,513.67,500.95
512,80,513.62,499.74
512,96,503.23,489.66
