THREADS_PER_BLOCK,TILE_DIM,SHMEM_KB,ExecutionTime_ms,GFLOPS,GBps,MaxAttainedOccupancy
32,8,0,69.2531,1984.59,2.90711,32
32,8,4,90.7827,1513.93,2.21768,29
32,8,8,115.075,1194.34,1.74952,17
32,8,16,194.253,707.526,1.03642,9
32,8,24,283.789,484.299,0.709423,6
32,8,32,419.696,327.473,0.479697,4
32,8,40,554.015,248.078,0.363396,3
32,8,48,552.856,248.598,0.364158,3
32,8,64,841.509,163.324,0.239245,2
32,8,80,823.756,166.844,0.244401,2
32,8,96,1610.25,85.3524,0.125028,1
64,8,0,66.8385,2056.28,3.01213,40
64,8,4,71.2724,1928.36,2.82475,40
64,8,8,91.1114,1508.47,2.20967,34
64,8,16,121.102,1134.9,1.66245,18
64,8,24,169.731,809.745,1.18615,12
64,8,32,241.38,569.387,0.834064,8
64,8,40,310.922,442.036,0.647514,6
64,8,48,313.869,437.886,0.641434,6
64,8,64,460.496,298.459,0.437195,4
64,8,80,459.542,299.078,0.438103,4
64,8,96,898.857,152.904,0.223981,2
128,8,0,110.7,1241.55,1.81868,40
128,8,4,111.303,1234.82,1.80882,40
128,8,8,111.405,1233.69,1.80716,40
128,8,16,135.735,1012.55,1.48323,36
128,8,24,178.401,770.392,1.1285,24
128,8,32,246.446,557.684,0.816919,16
128,8,40,317.856,432.394,0.63339,12
128,8,48,319.548,430.104,0.630035,12
128,8,64,478.387,287.296,0.420844,8
128,8,80,474.168,289.853,0.424589,8
128,8,96,900.961,152.547,0.223458,4
256,8,0,204.342,672.592,0.985242,40
256,8,4,204.346,672.578,0.985222,40
256,8,8,204.561,671.871,0.984187,40
256,8,16,204.569,671.848,0.984152,40
256,8,24,205.336,669.338,0.980476,40
256,8,32,254.35,540.353,0.791533,32
256,8,40,323.932,424.283,0.621509,24
256,8,48,326.86,420.483,0.615942,24
256,8,64,479.679,286.522,0.419711,16
256,8,80,476.057,288.703,0.422905,16
256,8,96,910.397,150.966,0.221141,8
