THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,1.07622,475.737406,10
32,8,1.08134,473.484845,10
32,12,1.07622,475.737406,10
32,16,1.29126,396.510688,9
32,20,1.19194,429.553259,7
32,24,1.11411,459.558815,6
32,28,1.08749,470.809769,5
32,32,1.35885,376.789758,4
32,36,1.3568,377.358502,4
32,40,1.35578,377.643518,4
32,44,1.6343,313.283199,3
32,48,1.63533,313.087028,3
32,52,1.63328,313.479616,3
32,56,1.94867,262.743030,2
32,60,1.94867,262.743030,2
32,64,1.9497,262.605049,2
32,68,1.94867,262.743030,2
32,72,1.94867,262.743030,2
32,76,1.9497,262.605049,2
32,80,1.94867,262.743030,2
32,84,3.57581,143.184420,1
32,88,3.57786,143.102459,1
32,92,3.57683,143.143427,1
32,96,3.57888,143.061514,1
64,4,2.13811,478.927188,20
64,8,2.14323,477.783063,20
64,12,2.14221,478.011450,20
64,16,2.22003,461.254617,18
64,20,2.18726,468.164801,14
64,24,2.09408,488.997562,12
64,28,2.11251,484.730949,10
64,32,2.10739,485.908632,8
64,36,2.12275,482.392679,8
64,40,2.12378,482.160086,8
64,44,2.304,444.444464,6
64,48,2.304,444.444464,6
64,52,2.30093,445.037806,6
64,56,2.3849,429.368821,4
64,60,2.38285,429.737856,4
64,64,2.38285,429.737856,4
64,68,2.38387,429.553259,4
64,72,2.38387,429.553259,4
64,76,2.38182,429.922611,4
64,80,2.38182,429.922611,4
64,84,3.8697,264.620277,2
64,88,3.87379,264.340475,2
64,92,3.87686,264.131012,2
64,96,3.86765,264.760400,2
128,4,4.11341,497.883982,40
128,8,4.2967,476.644444,40
128,12,4.3008,476.190493,40
128,16,4.26906,479.731368,36
128,20,4.23322,483.792958,28
128,24,4.1984,487.804876,24
128,28,4.16563,491.642112,20
128,32,3.98541,513.874606,16
128,36,4.14925,493.583401,16
128,40,4.13082,495.785823,16
128,44,4.12774,496.154777,12
128,48,4.13082,495.785823,12
128,52,4.12672,496.277921,12
128,56,3.95571,517.732322,8
128,60,3.99462,512.689067,8
128,64,3.93011,521.104757,8
128,68,4.0745,502.638880,8
128,72,4.07654,502.386359,8
128,76,4.096,499.999976,8
128,80,4.07347,502.765206,8
128,84,4.74522,431.592586,4
128,88,4.75238,430.941591,4
128,92,4.75136,431.034488,4
128,96,4.75443,430.755958,4
256,4,8.48896,482.509032,64
256,8,8.31693,492.489540,64
256,12,8.23706,497.265056,64
256,16,8.88013,461.254617,64
256,20,8.84531,463.070149,56
256,24,8.69478,471.087024,48
256,28,8.62925,474.664786,40
256,32,8.07424,507.292344,32
256,36,8.58829,476.928563,32
256,40,8.6825,471.753741,32
256,44,8.33843,491.219434,24
256,48,8.40602,487.270049,24
256,52,8.35277,490.376367,24
256,56,7.7271,530.082150,16
256,60,7.81517,524.109021,16
256,64,7.82541,523.423189,16
256,68,8.20429,499.251152,16
256,72,8.20326,499.313430,16
256,76,8.21965,498.318154,16
256,80,8.19917,499.562870,16
256,84,7.98515,512.952054,8
256,88,7.97594,513.544747,8
256,92,7.98515,512.952054,8
256,96,7.97798,513.412915,8
