THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,0.280576,114.051099,10
32,8,0.279552,114.468859,10
32,12,0.278528,114.889704,10
32,16,0.4864,65.789473,9
32,20,0.500736,63.905931,7
32,24,0.502784,63.645619,6
32,28,0.507904,63.004033,5
32,32,0.722944,44.263455,4
32,36,0.72192,44.326240,4
32,40,0.723968,44.200847,4
32,44,0.928768,34.454246,3
32,48,0.929792,34.416300,3
32,52,0.933888,34.265350,3
32,56,1.14586,27.926720,2
32,60,1.14688,27.901785,2
32,64,1.14688,27.901785,2
32,68,1.14995,27.827247,2
32,72,1.14586,27.926720,2
32,76,1.14688,27.901785,2
32,80,1.14586,27.926720,2
32,84,2.15142,14.873870,1
32,88,2.1504,14.880953,1
32,92,2.15347,14.859725,1
32,96,2.15245,14.866794,1
64,4,0.31232,204.918037,20
64,8,0.311296,205.592114,20
64,12,0.31232,204.918037,20
64,16,0.52736,121.359218,18
64,20,0.5376,119.047623,14
64,24,0.536576,119.274815,12
64,28,0.539648,118.595826,10
64,32,0.755712,84.688350,8
64,36,0.756736,84.573750,8
64,40,0.756736,84.573750,8
64,44,0.948224,67.494600,6
64,48,0.953344,67.132117,6
64,52,0.948224,67.494600,6
64,56,1.20115,53.282184,4
64,60,1.20218,53.236798,4
64,64,1.20525,53.101105,4
64,68,1.20525,53.101105,4
64,72,1.20115,53.282184,4
64,76,1.2032,53.191490,4
64,80,1.20115,53.282184,4
64,84,2.19034,29.219261,2
64,88,2.19341,29.178338,2
64,92,2.19238,29.191966,2
64,96,2.19238,29.191966,2
128,4,0.406528,314.861464,40
128,8,0.407552,314.070349,40
128,12,0.407552,314.070349,40
128,16,0.612352,209.030096,36
128,20,0.60928,210.084037,28
128,24,0.605184,211.505916,24
128,28,0.605184,211.505916,20
128,32,0.8192,156.250004,16
128,36,0.817152,156.641600,16
128,40,0.816128,156.838140,16
128,44,1.02707,124.626127,12
128,48,1.024,124.999994,12
128,52,1.02502,124.875118,12
128,56,1.26669,101.050931,8
128,60,1.27078,100.725220,8
128,64,1.26566,101.132688,8
128,68,1.26464,101.214577,8
128,72,1.26669,101.050931,8
128,76,1.26771,100.969306,8
128,80,1.26874,100.887812,8
128,84,2.2743,56.280957,4
128,88,2.27738,56.205038,4
128,92,2.27533,56.255628,4
128,96,2.27123,56.357081,4
256,4,0.837632,305.623472,64
256,8,0.830464,308.261404,64
256,12,0.83968,304.878043,64
256,16,0.828416,309.023490,64
256,20,0.81408,314.465409,56
256,24,0.785408,325.945233,48
256,28,0.785408,325.945233,40
256,32,0.961536,266.240684,32
256,36,0.965632,265.111341,32
256,40,0.965632,265.111341,32
256,44,1.15405,221.827868,24
256,48,1.15302,222.024875,24
256,52,1.15507,221.631211,24
256,56,1.39366,183.688464,16
256,60,1.39264,183.823530,16
256,64,1.39469,183.553596,16
256,68,1.39878,183.016100,16
256,72,1.40083,182.748531,16
256,76,1.39571,183.418926,16
256,80,1.39776,183.150179,16
256,84,2.47296,103.519669,8
256,88,2.46886,103.691416,8
256,92,2.47091,103.605471,8
256,96,2.47091,103.605471,8
