THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,0.256,31999.998480,10
32,8,0.257024,31872.511181,10
32,12,0.257024,31872.511181,10
32,16,0.473088,17316.017453,9
32,20,0.488448,16771.488676,7
32,24,0.488448,16771.488676,6
32,28,0.492544,16632.016788,5
32,32,0.720896,11363.636275,4
32,36,0.719872,11379.800888,4
32,40,0.7168,11428.571836,4
32,44,0.917504,8928.571306,3
32,48,0.913408,8968.610048,3
32,52,0.918528,8918.617416,3
32,56,1.14586,7149.240251,2
32,60,1.13971,7187.780924,2
32,64,1.13971,7187.780924,2
32,68,1.14176,7174.887945,2
32,72,1.14074,7181.328647,2
32,76,1.14483,7155.634969,2
32,80,1.14688,7142.856952,2
32,84,2.07667,3944.773029,1
32,88,2.07565,3946.719158,1
32,92,2.07565,3946.719158,1
32,96,2.07667,3944.773029,1
64,4,0.274432,59701.491776,20
64,8,0.273408,59925.094575,20
64,12,0.272384,60150.378611,20
64,16,0.493568,33195.020533,18
64,20,0.498688,32854.208631,14
64,24,0.500736,32719.836521,12
64,28,0.50176,32653.060837,10
64,32,0.72192,22695.035039,8
64,36,0.72192,22695.035039,8
64,40,0.72192,22695.035039,8
64,44,0.907264,18058.690860,6
64,48,0.912384,17957.351810,6
64,52,0.905216,18099.547939,6
64,56,1.13766,14401.440645,4
64,60,1.14074,14362.657295,4
64,64,1.13664,14414.415015,4
64,68,1.14074,14362.657295,4
64,72,1.14074,14362.657295,4
64,76,1.14278,14336.917570,4
64,80,1.13971,14375.561847,4
64,84,2.0777,7885.657637,2
64,88,2.0777,7885.657637,2
64,92,2.07258,7905.138165,2
64,96,2.0736,7901.234363,2
128,4,0.308224,106312.294916,40
128,8,0.306176,107023.408996,40
128,12,0.308224,106312.294916,40
128,16,0.539648,60721.063021,36
128,20,0.5376,60952.383126,28
128,24,0.531456,61657.033492,24
128,28,0.528384,62015.507366,20
128,32,0.749568,43715.847838,16
128,36,0.749568,43715.847838,16
128,40,0.748544,43775.651097,16
128,44,0.951296,34445.641492,12
128,48,0.953344,34371.643846,12
128,52,0.951296,34445.641492,12
128,56,1.16736,28070.176685,8
128,60,1.17043,27996.501118,8
128,64,1.17555,27874.564210,8
128,68,1.17043,27996.501118,8
128,72,1.16941,28021.016630,8
128,76,1.17146,27972.028465,8
128,80,1.17043,27996.501118,8
128,84,2.09408,15647.921975,4
128,88,2.09613,15632.633219,4
128,92,2.09408,15647.921975,4
128,96,2.09613,15632.633219,4
256,4,0.62464,104918.034812,64
256,8,0.626688,104575.162808,64
256,12,0.626688,104575.162808,64
256,16,0.625664,104746.318225,64
256,20,0.616448,106312.294916,56
256,24,0.606208,108108.103398,48
256,28,0.596992,109777.012525,40
256,32,0.809984,80910.237371,32
256,36,0.809984,80910.237371,32
256,40,0.811008,80808.083146,32
256,44,1.01069,64842.961843,24
256,48,1.00762,65040.647625,24
256,52,1.00454,65239.550199,24
256,56,1.2288,53333.330800,16
256,60,1.22573,53466.999310,16
256,64,1.22266,53601.339526,16
256,68,1.22778,53377.812647,16
256,72,1.2288,53333.330800,16
256,76,1.2247,53511.704498,16
256,80,1.2288,53333.330800,16
256,84,2.18214,30032.849438,8
256,88,2.18522,29990.628615,8
256,92,2.18419,30004.689026,8
256,96,2.18419,30004.689026,8
