OpType,ThreadsPerBlock,Shmem_KB,MeanLatency_cycles,MinLatency_cycles
FMUL,32,0,4.07,4.06
FMUL,32,4,4.07,4.06
FMUL,32,8,4.07,4.06
FMUL,32,16,4.07,4.06
FMUL,32,32,4.06,4.06
FMUL,32,48,4.06,4.06
FMUL,32,64,4.06,4.06
FMUL,32,72,4.06,4.06
FMUL,32,80,4.06,4.06
FMUL,32,96,4.06,4.06
FMUL,64,0,4.49,4.08
FMUL,64,4,4.49,4.08
FMUL,64,8,4.49,4.08
FMUL,64,16,4.49,4.08
FMUL,64,32,4.09,4.06
FMUL,64,48,4.06,4.06
FMUL,64,64,4.06,4.06
FMUL,64,72,4.06,4.06
FMUL,64,80,4.06,4.06
FMUL,64,96,4.06,4.06
FMUL,128,0,6.58,4.09
FMUL,128,4,6.58,4.09
FMUL,128,8,6.58,4.09
FMUL,128,16,6.58,4.09
FMUL,128,32,5.38,4.09
FMUL,128,48,4.15,4.06
FMUL,128,64,4.09,4.06
FMUL,128,72,4.09,4.06
FMUL,128,80,4.06,4.06
FMUL,128,96,4.06,4.06
FMUL,256,0,10.05,4.09
FMUL,256,4,10.06,4.09
FMUL,256,8,10.06,4.09
FMUL,256,16,10.06,4.09
FMUL,256,32,8.73,4.09
FMUL,256,48,6.78,4.09
FMUL,256,64,5.82,4.09
FMUL,256,72,5.82,4.09
FMUL,256,80,4.15,4.08
FMUL,256,96,4.15,4.07
