OpType,ThreadsPerBlock,Shmem_KB,MeanLatency_cycles,MinLatency_cycles
FADD,32,0,4.07,4.06
FADD,32,4,4.07,4.06
FADD,32,8,4.07,4.06
FADD,32,16,4.07,4.06
FADD,32,32,4.06,4.06
FADD,32,48,4.06,4.06
FADD,32,64,4.06,4.06
FADD,64,0,4.49,4.09
FADD,64,4,4.49,4.09
FADD,64,8,4.49,4.09
FADD,64,16,4.49,4.09
FADD,64,32,4.09,4.06
FADD,64,48,4.06,4.06
FADD,64,64,4.06,4.06
FADD,128,0,6.57,4.09
FADD,128,4,6.57,4.09
FADD,128,8,6.57,4.09
FADD,128,16,6.57,4.09
FADD,128,32,5.38,4.09
FADD,128,48,4.15,4.06
FADD,128,64,4.09,4.06
FADD,256,0,10.07,4.09
FADD,256,4,10.07,4.09
FADD,256,8,10.07,4.09
FADD,256,16,10.07,4.09
FADD,256,32,8.74,4.09
FADD,256,48,6.78,4.09
FADD,256,64,5.82,4.09
FMUL,32,0,4.07,4.06
FMUL,32,4,4.07,4.06
FMUL,32,8,4.07,4.06
FMUL,32,16,4.07,4.06
FMUL,32,32,4.06,4.06
FMUL,32,48,4.06,4.06
FMUL,32,64,4.06,4.06
FMUL,64,0,4.49,4.08
FMUL,64,4,4.49,4.08
FMUL,64,8,4.49,4.08
FMUL,64,16,4.49,4.08
FMUL,64,32,4.09,4.06
FMUL,64,48,4.06,4.06
FMUL,64,64,4.06,4.06
FMUL,128,0,6.58,4.09
FMUL,128,4,6.58,4.09
FMUL,128,8,6.58,4.09
FMUL,128,16,6.58,4.09
FMUL,128,32,5.38,4.09
FMUL,128,48,4.15,4.06
FMUL,128,64,4.09,4.06
FMUL,256,0,10.06,4.09
FMUL,256,4,10.05,4.09
FMUL,256,8,10.05,4.09
FMUL,256,16,10.06,4.09
FMUL,256,32,8.72,4.09
FMUL,256,48,6.78,4.09
FMUL,256,64,5.82,4.09
FMA,32,0,4.10,4.09
FMA,32,4,4.10,4.09
FMA,32,8,4.10,4.09
FMA,32,16,4.10,4.09
FMA,32,32,4.10,4.09
FMA,32,48,4.09,4.09
FMA,32,64,4.09,4.09
FMA,64,0,4.52,4.13
FMA,64,4,4.52,4.13
FMA,64,8,4.52,4.13
FMA,64,16,4.52,4.13
FMA,64,32,4.12,4.09
FMA,64,48,4.10,4.09
FMA,64,64,4.10,4.09
FMA,128,0,6.60,4.13
FMA,128,4,6.60,4.13
FMA,128,8,6.60,4.13
FMA,128,16,6.60,4.13
FMA,128,32,5.42,4.13
FMA,128,48,4.17,4.10
FMA,128,64,4.13,4.09
FMA,256,0,10.15,4.13
FMA,256,4,10.16,4.13
FMA,256,8,10.15,4.13
FMA,256,16,10.14,4.13
FMA,256,32,8.80,4.13
FMA,256,48,6.83,4.13
FMA,256,64,5.87,4.13
