ThreadsPerBlock,Shmem_KB,MeanLatency_cycles,MinLatency_cycles
32,0,590.53,574.10
32,4,590.87,574.43
32,8,590.41,574.04
32,16,590.89,574.51
32,32,493.11,264.10
32,48,421.35,263.40
32,64,386.94,263.82
32,72,387.25,263.90
32,80,351.73,260.26
32,96,351.74,260.28
64,0,591.67,576.33
64,4,590.86,574.30
64,8,590.56,573.83
64,16,590.99,574.68
64,32,493.57,272.01
64,48,422.02,264.27
64,64,386.72,264.45
64,72,387.27,264.18
64,80,352.03,263.34
64,96,352.01,263.80
128,0,601.19,584.61
128,4,601.48,585.33
128,8,601.57,585.02
128,16,601.02,584.52
128,32,500.68,271.81
128,48,427.36,265.07
128,64,391.20,265.55
128,72,391.20,265.58
128,80,354.62,264.61
128,96,354.46,265.90
256,0,610.35,594.17
256,4,610.01,592.86
256,8,610.36,594.11
256,16,610.57,593.99
256,32,615.29,598.46
256,48,618.71,602.28
256,64,621.16,605.23
256,72,621.16,604.26
256,80,622.94,606.24
256,96,622.93,606.40
512,0,639.81,622.29
512,4,639.69,623.03
512,8,639.83,621.97
512,16,640.03,622.80
512,32,640.08,623.24
512,48,639.74,621.99
512,64,642.34,624.24
512,72,642.55,624.81
512,80,644.15,626.26
512,96,643.82,626.17
