ThreadsPerBlock,Shmem_KB,MeanLatency_cycles,MinLatency_cycles
32,0,566.23,551.87
32,4,566.46,552.09
32,8,566.79,552.17
32,16,565.99,551.63
32,32,479.21,275.79
32,48,415.11,269.11
32,64,384.85,268.83
32,72,384.85,275.82
32,80,347.28,272.45
32,96,347.13,272.72
64,0,575.38,560.55
64,4,575.22,560.58
64,8,575.56,560.86
64,16,575.30,560.44
64,32,484.35,274.00
64,48,426.27,276.12
64,64,385.98,276.26
64,72,386.86,279.57
64,80,353.12,269.93
64,96,353.47,269.49
128,0,575.55,560.10
128,4,579.48,564.05
128,8,576.01,560.28
128,16,575.50,560.04
128,32,485.79,274.92
128,48,419.69,276.04
128,64,387.40,274.87
128,72,387.58,274.89
128,80,355.46,271.17
128,96,357.56,273.56
256,0,559.61,273.03
256,4,559.49,274.18
256,8,559.49,274.33
256,16,559.62,274.75
256,32,492.57,275.26
256,48,424.13,275.07
256,64,391.01,278.40
256,72,390.85,275.32
256,80,357.53,274.87
256,96,357.36,274.71
512,0,602.31,586.66
512,4,601.26,585.93
512,8,602.37,586.28
512,16,602.51,587.08
512,32,602.45,586.11
512,48,602.92,587.68
512,64,603.99,588.80
512,72,604.46,589.11
512,80,605.59,590.33
512,96,605.70,590.59
