THREADS_PER_BLOCK,TILE_DIM,SHMEM_KB,ExecutionTime_ms,GFLOPS,GBps,MaxAttainedOccupancy
32,16,0,23.3836,5877.57,8.60972,32
32,16,4,23.8884,5753.36,8.42778,32
32,16,8,25.646,5359.08,7.85021,20
32,16,16,39.676,3464.04,5.07427,12
32,16,24,57.9203,2372.9,3.47592,8
32,16,32,76.163,1804.54,2.64336,6
32,16,40,90.4703,1519.16,2.22533,5
32,16,48,111.965,1227.52,1.79812,4
32,16,64,149.382,920.052,1.34773,3
32,16,80,221.746,619.803,0.907915,2
32,16,96,226.921,605.67,0.887212,2
64,16,0,23.2381,5914.38,8.66364,48
64,16,4,23.5741,5830.08,8.54016,48
64,16,8,23.9134,5747.36,8.41898,40
64,16,16,24.6243,5581.43,8.17593,24
64,16,24,32.7363,4198.37,6.14996,16
64,16,32,42.2596,3252.25,4.76404,12
64,16,40,49.8545,2756.8,4.03828,10
64,16,48,61.4155,2237.85,3.27811,8
64,16,64,81.0406,1695.93,2.48427,6
64,16,80,116.924,1175.45,1.72185,4
64,16,96,120.408,1141.44,1.67203,4
128,16,0,24.0857,5706.24,8.35875,48
128,16,4,24.1519,5690.6,8.33584,48
128,16,8,24.0893,5705.39,8.35751,48
128,16,16,24.5935,5588.43,8.18617,48
128,16,24,28.1716,4878.64,7.14645,32
128,16,32,35.917,3826.57,5.60533,24
128,16,40,42.0899,3265.37,4.78325,20
128,16,48,51.8479,2650.81,3.88303,16
128,16,64,68.1838,2015.71,2.9527,12
128,16,80,98.9149,1389.47,2.03535,8
128,16,96,101.932,1348.34,1.97511,8
256,16,0,26.3794,5210.08,7.63196,48
256,16,4,26.4103,5203.98,7.62302,48
256,16,8,26.4278,5200.54,7.61798,48
256,16,16,26.4432,5197.52,7.61355,48
256,16,24,26.5659,5173.51,7.57839,48
256,16,32,26.8587,5117.11,7.49577,48
256,16,40,29.1079,4721.71,6.91656,40
256,16,48,34.5183,3981.63,5.83246,32
256,16,64,44.6442,3078.54,4.50958,24
256,16,80,65.3167,2104.19,3.08231,16
256,16,96,66.612,2063.28,3.02238,16
