THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,0.914272,1120.016788,9
32,8,1.02662,997.444084,9
32,12,1.02915,994.993902,9
32,16,1.02688,997.195363,9
32,20,1.02925,994.901132,9
32,24,1.02806,996.046927,9
32,28,1.13379,903.163862,7
32,32,1.09075,938.801849,6
32,36,1.07808,949.836696,6
32,40,1.04918,975.996617,5
32,44,1.04614,978.832734,5
32,48,1.3248,772.946851,4
32,52,1.32774,771.233005,4
32,56,1.32704,771.642176,4
32,60,1.28544,796.614409,3
32,64,1.28762,795.268146,3
32,68,1.28797,795.050784,3
32,72,1.2856,796.515279,3
32,76,1.9097,536.211004,2
32,80,1.9103,536.040351,2
32,84,1.90835,536.588633,2
32,88,1.90835,536.588633,2
32,92,1.90883,536.453719,2
32,96,1.9103,536.040351,2
64,4,1.8663,1097.356034,18
64,8,1.98512,1031.675637,18
64,12,1.98272,1032.924458,18
64,16,1.98413,1032.191472,18
64,20,1.98086,1033.892256,18
64,24,1.98362,1032.457898,18
64,28,1.96499,1042.243404,14
64,32,2.02854,1009.591141,12
64,36,2.02986,1008.938582,12
64,40,1.93824,1056.628666,10
64,44,1.94029,1055.513437,10
64,48,2.03491,1006.431674,8
64,52,2.0808,984.236805,8
64,56,2.08147,983.919110,8
64,60,1.90893,1072.853434,6
64,64,1.90982,1072.350115,6
64,68,1.93366,1059.129217,6
64,72,1.93219,1059.936090,6
64,76,2.31981,882.831680,4
64,80,2.31894,883.160620,4
64,84,2.31875,883.233720,4
64,88,2.31882,883.209382,4
64,92,2.31984,882.819522,4
64,96,2.31968,882.880407,4
128,4,3.96909,1031.975083,36
128,8,3.87754,1056.340918,36
128,12,3.94563,1038.109996,36
128,16,3.94646,1037.891119,36
128,20,3.94896,1037.235103,36
128,24,3.94506,1038.261571,36
128,28,3.92163,1044.463108,28
128,32,3.89808,1050.773684,24
128,36,3.90045,1050.135757,24
128,40,3.86835,1058.848850,20
128,44,3.87158,1057.964922,20
128,48,3.63312,1127.405627,16
128,52,3.84464,1065.379329,16
128,56,3.84387,1065.592175,16
128,60,3.57856,1144.594437,12
128,64,3.5831,1143.142962,12
128,68,3.84234,1066.018189,12
128,72,3.84515,1065.237500,12
128,76,3.75062,1092.084961,8
128,80,3.74941,1092.439124,8
128,84,3.74966,1092.364523,8
128,88,3.74909,1092.532356,8
128,92,3.75075,1092.047683,8
128,96,3.75066,1092.075658,8
256,4,7.82371,1047.073325,64
256,8,7.7463,1057.536596,64
256,12,7.79373,1051.101621,64
256,16,7.56067,1083.501600,64
256,20,7.72707,1060.168749,64
256,24,8.11216,1009.842049,64
256,28,8.05984,1016.397322,56
256,32,8.01878,1021.601335,48
256,36,8.03101,1020.046330,48
256,40,7.96045,1029.087838,40
256,44,7.96266,1028.802447,40
256,48,7.22109,1134.455095,32
256,52,7.86154,1042.035548,32
256,56,7.8609,1042.120375,32
256,60,7.13597,1147.987177,24
256,64,7.1367,1147.868825,24
256,68,7.71402,1061.963061,24
256,72,7.71037,1062.465479,24
256,76,7.09146,1155.192964,16
256,80,7.11696,1151.053251,16
256,84,7.12384,1149.941628,16
256,88,7.14102,1147.174393,16
256,92,7.14595,1146.383259,16
256,96,7.12243,1150.168894,16
