THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,0.542624,3774.252544,9
32,8,0.542464,3775.365614,9
32,12,0.543776,3766.256862,9
32,16,0.542944,3772.027957,9
32,20,0.542976,3771.805601,9
32,24,0.541312,3783.400476,9
32,28,0.692096,2959.127079,7
32,32,0.692,2959.537693,6
32,36,0.692608,2956.939572,6
32,40,0.69552,2944.559535,5
32,44,0.697728,2935.241332,5
32,48,1.01165,2024.419443,4
32,52,1.01213,2023.459492,4
32,56,1.01072,2026.278267,4
32,60,1.0256,1996.879960,3
32,64,1.02758,1993.024498,3
32,68,1.02534,1997.378413,3
32,72,1.02573,1996.630710,3
32,76,1.6833,1216.660672,2
32,80,1.68432,1215.920985,2
32,84,1.68061,1218.606575,2
32,88,1.68256,1217.192873,2
32,92,1.68333,1216.637495,2
32,96,1.68176,1217.771892,2
64,4,0.837248,4892.218156,18
64,8,0.838784,4883.259696,18
64,12,0.837152,4892.779303,18
64,16,0.837504,4890.722739,18
64,20,0.83728,4892.031483,18
64,24,0.838144,4886.988368,18
64,28,0.845152,4846.465371,14
64,32,0.853984,4796.342798,12
64,36,0.852608,4804.083330,12
64,40,0.850208,4817.644712,10
64,44,0.84928,4822.908818,10
64,48,1.04925,3903.748282,8
64,52,1.04998,3901.011906,8
64,56,1.0479,3908.754946,8
64,60,1.14934,3563.772131,6
64,64,1.14653,3572.525032,6
64,68,1.14995,3561.887633,6
64,72,1.14723,3570.332593,6
64,76,1.692,2420.803737,4
64,80,1.69126,2421.857214,4
64,84,1.69021,2423.370438,4
64,88,1.69174,2421.170149,4
64,92,1.69187,2420.986929,4
64,96,1.69168,2421.261769,4
128,4,1.42109,5764.597346,36
128,8,1.4217,5762.132201,36
128,12,1.42048,5767.064602,36
128,16,1.41984,5769.664276,36
128,20,1.42134,5763.558828,36
128,24,1.42003,5768.883982,36
128,28,1.41818,5776.433731,28
128,32,1.41818,5776.433731,24
128,36,1.41446,5791.593153,24
128,40,1.41517,5788.711820,20
128,44,1.41293,5797.889267,20
128,48,1.42624,5743.773970,16
128,52,1.42195,5761.094571,16
128,56,1.42938,5731.172179,16
128,60,1.4839,5520.572744,12
128,64,1.48224,5526.770437,12
128,68,1.47933,5537.649391,12
128,72,1.48029,5534.058130,12
128,76,1.7776,4608.460717,8
128,80,1.77747,4608.792663,8
128,84,1.77642,4611.532579,8
128,88,1.7768,4610.535700,8
128,92,1.77933,4603.985354,8
128,96,1.77805,4607.299591,8
256,4,2.80448,5842.081083,64
256,8,2.82384,5802.028643,64
256,12,2.80234,5846.550924,64
256,16,2.81648,5817.190414,64
256,20,2.82141,5807.029613,64
256,24,2.82765,5794.214993,64
256,28,2.77341,5907.533395,56
256,32,2.74442,5969.940421,48
256,36,2.74435,5970.079417,48
256,40,2.73926,5981.168639,40
256,44,2.73715,5985.783546,40
256,48,2.74333,5972.307881,32
256,52,2.7344,5991.808001,32
256,56,2.75395,5949.268485,32
256,60,2.75174,5954.042167,24
256,64,2.74634,5965.766789,24
256,68,2.75264,5952.104143,24
256,72,2.75795,5940.640065,24
256,76,2.85603,5736.630613,16
256,80,2.86915,5710.397917,16
256,84,2.84982,5749.127061,16
256,88,2.87312,5702.511417,16
256,92,2.85709,5734.509924,16
256,96,2.85478,5739.138209,16
