THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,0.214912,297.796311,9
32,8,0.215104,297.530499,9
32,12,0.214688,298.107016,9
32,16,0.215136,297.486232,9
32,20,0.21616,296.076981,9
32,24,0.215008,297.663335,9
32,28,0.40608,157.604410,7
32,32,0.408,156.862748,6
32,36,0.411712,155.448472,6
32,40,0.412288,155.231291,5
32,44,0.414336,154.464011,5
32,48,0.598048,107.014827,4
32,52,0.597824,107.054923,4
32,56,0.598176,106.991922,4
32,60,0.614944,104.074521,3
32,64,0.61472,104.112444,3
32,68,0.61632,103.842158,3
32,72,0.614432,104.161245,3
32,76,0.992352,64.493244,2
32,80,0.992192,64.503646,2
32,84,0.993216,64.437143,2
32,88,0.99264,64.474531,2
32,92,0.992608,64.476610,2
32,96,0.99456,64.350064,2
64,4,0.220736,579.878234,18
64,8,0.220512,580.467269,18
64,12,0.219584,582.920423,18
64,16,0.219424,583.345501,18
64,20,0.22016,581.395368,18
64,24,0.219072,584.282795,18
64,28,0.409344,312.695444,14
64,32,0.413536,309.525643,12
64,36,0.41216,310.558999,12
64,40,0.413728,309.382010,10
64,44,0.413664,309.429866,10
64,48,0.601632,212.754641,8
64,52,0.602016,212.618944,8
64,56,0.600064,213.310587,8
64,60,0.616704,207.555006,6
64,64,0.614432,208.322491,6
64,68,0.614912,208.159876,6
64,72,0.61648,207.630420,6
64,76,0.998144,128.238013,4
64,80,0.998528,128.188693,4
64,84,0.997312,128.344990,4
64,88,0.996864,128.402668,4
64,92,0.996,128.514057,4
64,96,0.996608,128.435651,4
128,4,0.238304,1074.258072,36
128,8,0.23856,1073.105271,36
128,12,0.240416,1064.820954,36
128,16,0.24016,1065.956015,36
128,20,0.238464,1073.537315,36
128,24,0.240608,1063.971243,36
128,28,0.427264,599.161167,28
128,32,0.425504,601.639469,24
128,36,0.42368,604.229597,24
128,40,0.42784,598.354533,20
128,44,0.427616,598.667964,20
128,48,0.612832,417.732749,16
128,52,0.61504,416.233088,16
128,56,0.613312,417.405819,16
128,60,0.625152,409.500415,12
128,64,0.6256,409.207174,12
128,68,0.625504,409.269954,12
128,72,0.625312,409.395649,12
128,76,1.0063,254.396279,8
128,80,1.00512,254.695947,8
128,84,1.00582,254.517697,8
128,88,1.00499,254.728394,8
128,92,1.00534,254.639200,8
128,96,1.00557,254.582478,8
256,4,0.475392,1077.005892,64
256,8,0.475136,1077.586180,64
256,12,0.476544,1074.402380,64
256,16,0.478112,1070.878763,64
256,20,0.476992,1073.393240,64
256,24,0.47824,1070.592142,64
256,28,0.468832,1092.075658,56
256,32,0.462944,1105.965298,48
256,36,0.466016,1098.674736,48
256,40,0.462144,1107.879825,40
256,44,0.459648,1113.895819,40
256,48,0.645664,792.982137,32
256,52,0.645376,793.335945,32
256,56,0.64384,795.228610,32
256,60,0.653568,783.392052,24
256,64,0.65344,783.545545,24
256,68,0.653376,783.622314,24
256,72,0.654624,782.128384,24
256,76,1.03603,494.193248,16
256,80,1.03587,494.269571,16
256,84,1.0344,494.972938,16
256,88,1.0344,494.972938,16
256,92,1.03616,494.132184,16
256,96,1.03584,494.284815,16
