OpType,ThreadsPerBlock,Shmem_KB,MeanLatency_cycles,MinLatency_cycles
FMUL,32,0,6.52,4.08
FMUL,32,4,6.52,4.08
FMUL,32,8,4.09,4.09
FMUL,32,16,4.09,4.09
FMUL,32,32,4.09,4.09
FMUL,32,48,4.09,4.09
FMUL,32,64,4.09,4.09
FMUL,64,0,11.29,4.09
FMUL,64,4,11.3,4.09
FMUL,64,8,7.23,4.08
FMUL,64,16,4.09,4.09
FMUL,64,32,4.09,4.09
FMUL,64,48,4.09,4.09
FMUL,64,64,4.09,4.09
FMUL,128,0,13.36,4.09
FMUL,128,4,13.36,4.09
FMUL,128,8,13.36,4.09
FMUL,128,16,7.59,4.08
FMUL,128,32,4.09,4.09
FMUL,128,48,4.09,4.09
FMUL,128,64,4.09,4.09
FMUL,256,0,14.39,4.09
FMUL,256,4,14.39,4.09
FMUL,256,8,14.39,4.09
FMUL,256,16,14.39,4.09
FMUL,256,32,7.81,4.09
FMUL,256,48,4.09,4.09
FMUL,256,64,4.09,4.09
