OpType,ThreadsPerBlock,Shmem_KB,MeanLatency_cycles,MinLatency_cycles
FADD,32,0,6.51,4.08
FADD,32,4,6.51,4.08
FADD,32,8,4.09,4.08
FADD,32,16,4.08,4.06
FADD,32,32,4.08,4.08
FADD,32,48,4.08,4.08
FADD,32,64,4.08,4.08
FADD,64,0,11.28,4.08
FADD,64,4,11.28,4.08
FADD,64,8,7.20,4.07
FADD,64,16,4.09,4.08
FADD,64,32,4.08,4.08
FADD,64,48,4.08,4.08
FADD,64,64,4.08,4.08
FADD,128,0,13.36,4.08
FADD,128,4,13.35,4.08
FADD,128,8,13.36,4.08
FADD,128,16,7.54,4.08
FADD,128,32,4.08,4.08
FADD,128,48,4.08,4.08
FADD,128,64,4.08,4.08
FADD,256,0,14.39,4.08
FADD,256,4,14.39,4.08
FADD,256,8,14.38,4.08
FADD,256,16,14.39,4.08
FADD,256,32,7.81,4.08
FADD,256,48,4.09,4.08
FADD,256,64,4.09,4.08
