ThreadsPerBlock,Shmem_KB,MeanLatency_cycles,MinLatency_cycles
64,0,456.36,430.50
64,4,458.26,432.11
64,8,434.51,427.99
64,16,434.85,427.08
64,32,435.93,423.78
64,48,436.31,424.31
64,64,436.41,424.43
128,0,439.61,434.78
128,4,440.34,434.45
128,8,440.55,434.38
128,16,440.41,431.41
128,32,442.91,433.42
128,48,445.83,433.21
128,64,446.78,434.89
256,0,441.99,434.34
256,4,441.24,432.57
256,8,442.56,435.49
256,16,442.07,434.49
256,32,444.11,433.13
256,48,487.09,476.50
256,64,486.96,475.90
512,0,453.18,446.40
512,4,453.07,444.80
512,8,454.20,445.41
512,16,452.21,448.00
512,32,451.49,444.73
512,48,499.83,496.35
512,64,500.55,496.01
