ThreadsPerBlock,Shmem_KB,MeanLatency_cycles,MinLatency_cycles
32,0,380.47,216.58
32,4,380.90,214.36
32,8,302.80,210.29
32,16,264.31,209.40
32,32,245.41,210.21
32,48,235.83,209.67
32,64,236.07,210.17
64,0,457.64,445.06
64,4,457.53,445.28
64,8,432.06,419.54
64,16,436.25,422.78
64,32,436.86,423.84
64,48,453.10,440.52
64,64,467.14,451.99
128,0,466.84,456.26
128,4,464.31,451.92
128,8,434.21,419.97
128,16,435.89,424.85
128,32,438.65,426.73
128,48,489.18,458.59
128,64,517.89,469.01
256,0,464.89,452.25
256,4,464.99,452.12
256,8,434.80,421.52
256,16,464.93,451.87
256,32,465.33,451.52
256,48,472.18,459.74
256,64,470.89,458.73
512,0,470.71,459.21
512,4,470.06,457.69
512,8,440.10,427.65
512,16,470.12,458.82
512,32,469.94,457.01
512,48,470.12,456.10
512,64,469.99,456.76
