THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,GBps,MaxAttainedOccupancy
32,4,788.308,174.346706,0.237851,16
32,8,787.95,174.426008,0.237959,8
32,12,786.571,174.731705,0.238376,5
32,16,790.861,173.784059,0.237084,4
32,20,798.834,172.049378,0.234717,3
32,24,805.781,170.566034,0.232693,2
32,28,805.574,170.610037,0.232753,2
32,32,805.375,170.652071,0.232811,2
32,36,1285.11,106.947291,0.145902,1
32,40,1285.49,106.915555,0.145859,1
32,44,1285.28,106.933111,0.145883,1
32,48,1285.38,106.924754,0.145871,1
32,52,1286.02,106.871926,0.145799,1
32,56,1288.36,106.677649,0.145534,1
32,60,1287.03,106.787591,0.145684,1
32,64,1287.41,106.756242,0.145641,1
64,4,422.662,325.174508,0.443617,32
64,8,422.451,325.336686,0.443838,16
64,12,421.937,325.733697,0.444380,10
64,16,421.945,325.726912,0.444370,8
64,20,421.872,325.783273,0.444447,6
64,24,426.432,322.299761,0.439695,4
64,28,429.103,320.293737,0.436958,4
64,32,428.649,320.632730,0.437421,4
64,36,580.79,236.641276,0.322836,2
64,40,580.748,236.658386,0.322859,2
64,44,582.201,236.067732,0.322054,2
64,48,581.161,236.490395,0.322630,2
64,52,581.046,236.536948,0.322694,2
64,56,581.609,236.308331,0.322382,2
64,60,581.352,236.412681,0.322524,2
64,64,582.841,235.808656,0.321700,2
128,4,237.399,578.935968,0.789809,32
128,8,236.456,581.245528,0.792960,32
128,12,236.981,579.958729,0.791204,20
128,16,236.745,580.536546,0.791992,16
128,20,238.021,577.423211,0.787745,12
128,24,242.305,567.214235,0.773818,8
128,28,243.029,565.524042,0.771512,8
128,32,242.906,565.811225,0.771903,8
128,36,290.601,472.947212,0.645214,4
128,40,290.249,473.520514,0.645997,4
128,44,290.446,473.199405,0.645559,4
128,48,290.614,472.925856,0.645185,4
128,52,290.328,473.392496,0.645822,4
128,56,290.13,473.715611,0.646263,4
128,60,292.522,469.841616,0.640978,4
128,64,291.728,471.120796,0.642723,4
256,4,160.383,856.944705,1.169080,32
256,8,160.143,858.224510,1.170826,32
256,12,157.804,870.944594,1.188179,32
256,16,157.745,871.275096,1.188630,32
256,20,157.665,871.712304,1.189227,24
256,24,160.456,856.549713,1.168541,16
256,28,160.403,856.836936,1.168933,16
256,32,160.564,855.978202,1.167761,16
256,36,167.685,819.626789,1.118169,8
256,40,167.579,820.146368,1.118878,8
256,44,167.072,822.631694,1.122269,8
256,48,167.047,822.755379,1.122437,8
256,52,167.735,819.380066,1.117833,8
256,56,167.597,820.055420,1.118754,8
256,60,167.336,821.335246,1.120500,8
256,64,167.031,822.836102,1.122548,8
