THREADS_PER_BLOCK,TILE_DIM,SHMEM_KB,ExecutionTime_ms,GFLOPS,GBps,MaxAttainedOccupancy
32,8,4,211.366,650.24,0.9525,14
32,8,8,366.52,374.984,0.549293,7
32,8,12,500.466,274.622,0.402279,5
32,8,16,819.659,167.678,0.245622,3
32,8,20,819.532,167.704,0.24566,3
32,8,24,1227.83,111.936,0.163969,2
32,8,28,1230.3,111.712,0.16364,2
32,8,32,2431.28,56.5294,0.0828067,1
32,8,36,2429.72,56.5657,0.08286,1
32,8,40,2430.07,56.5577,0.0828482,1
32,8,44,2430.38,56.5503,0.0828373,1
32,8,48,2429.11,56.5799,0.0828807,1
32,8,52,2429.4,56.5733,0.0828711,1
32,8,56,2430.1,56.5569,0.082847,1
32,8,60,2431.49,56.5245,0.0827996,1
64,8,4,164.323,836.395,1.22519,28
64,8,8,237.291,579.201,0.848438,14
64,8,12,308.914,444.91,0.651724,10
64,8,16,483.442,284.293,0.416444,6
64,8,20,484.479,283.684,0.415553,6
64,8,24,715.358,192.126,0.281435,4
64,8,28,718.5,191.286,0.280204,4
64,8,32,1379.13,99.656,0.14598,2
64,8,36,1379.04,99.6627,0.14599,2
64,8,40,1376.82,99.8235,0.146226,2
64,8,44,1377.77,99.7547,0.146125,2
64,8,48,1376.52,99.8452,0.146258,2
64,8,52,1378.69,99.688,0.146027,2
64,8,56,1376.1,99.8758,0.146302,2
64,8,60,1376.63,99.8376,0.146246,2
128,8,4,221.676,620.001,0.908204,32
128,8,8,239.496,573.867,0.840626,28
128,8,12,308.73,445.175,0.652111,20
128,8,16,488.42,281.395,0.4122,12
128,8,20,488.823,281.163,0.41186,12
128,8,24,737.731,186.3,0.2729,8
128,8,28,737.501,186.358,0.272985,8
128,8,32,1378.99,99.6663,0.145996,4
128,8,36,1377.2,99.7956,0.146185,4
128,8,40,1379.32,99.6429,0.145961,4
128,8,44,1376.96,99.8132,0.146211,4
128,8,48,1378.38,99.7105,0.14606,4
128,8,52,1377.25,99.792,0.14618,4
128,8,56,1377.04,99.8075,0.146202,4
128,8,60,1379.37,99.6389,0.145955,4
256,8,4,381.886,359.895,0.52719,32
256,8,8,382.14,359.656,0.526839,32
256,8,12,382.507,359.311,0.526334,32
256,8,16,496.117,277.029,0.405805,24
256,8,20,495.73,277.246,0.406122,24
256,8,24,739.885,185.757,0.272105,16
256,8,28,740.699,185.553,0.271806,16
256,8,32,1390.01,98.8765,0.144839,8
256,8,36,1388.98,98.9492,0.144945,8
256,8,40,1390.74,98.8242,0.144762,8
256,8,44,1389.41,98.919,0.144901,8
256,8,48,1391.39,98.7779,0.144694,8
256,8,52,1389.31,98.9261,0.144911,8
256,8,56,1389.14,98.9383,0.144929,8
256,8,60,1390.54,98.8383,0.144783,8
