THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,6.7407,18.989114,16
32,8,6.67648,19.171780,8
32,12,6.75331,18.953663,5
32,16,6.78234,18.872553,4
32,20,6.81808,18.773614,3
32,24,7.09654,18.036949,2
32,28,7.13066,17.950663,2
32,32,7.10934,18.004474,2
32,36,8.00154,15.996928,1
32,40,8.00144,15.997120,1
32,44,7.99888,16.002240,1
32,48,7.99949,16.001024,1
32,52,7.99651,16.006979,1
32,56,7.99978,16.000448,1
32,60,7.99539,16.009222,1
32,64,7.9913,16.017427,1
64,4,13.8892,18.431565,32
64,8,13.4533,19.028816,16
64,12,13.3652,19.154153,10
64,16,13.357,19.166037,8
64,20,13.2966,19.253031,6
64,24,13.454,19.027867,4
64,28,13.4637,19.014027,4
64,32,13.452,19.030582,4
64,36,14.1085,18.145033,2
64,40,14.1108,18.142194,2
64,44,14.1066,18.147503,2
64,48,14.1067,18.147379,2
64,52,14.1059,18.148491,2
64,56,14.1201,18.130188,2
64,60,14.1105,18.142524,2
64,64,14.105,18.149561,2
128,4,28.3407,18.065909,32
128,8,27.9186,18.339033,32
128,12,27.0931,18.897786,20
128,16,26.8855,19.043720,16
128,20,26.7227,19.159772,12
128,24,26.6045,19.244879,8
128,28,26.5989,19.248930,8
128,32,26.6158,19.236688,8
128,36,26.8334,19.080669,4
128,40,26.8209,19.089593,4
128,44,26.8206,19.089798,4
128,48,26.8347,19.079805,4
128,52,26.847,19.071050,4
128,56,26.8328,19.081148,4
128,60,26.8262,19.085790,4
128,64,26.8189,19.090982,4
256,4,56.7522,18.043366,32
256,8,56.7525,18.043265,32
256,12,55.9364,18.306500,32
256,16,55.9748,18.293952,32
256,20,54.765,18.698076,24
256,24,53.7108,19.065049,16
256,28,53.7033,19.067743,16
256,32,53.6916,19.071890,16
256,36,53.2089,19.244914,8
256,40,53.1931,19.250621,8
256,44,53.1965,19.249383,8
256,48,53.1908,19.251455,8
256,52,53.182,19.254617,8
256,56,53.199,19.248479,8
256,60,53.1931,19.250634,8
256,64,53.1698,19.259045,8
