THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,3.96083,1034.126132,16
32,8,3.78349,1082.598904,8
32,12,3.512,1166.286988,5
32,16,4.00102,1023.737982,4
32,20,3.79085,1080.497024,3
32,24,4.4217,926.341347,2
32,28,4.86426,842.060961,2
32,32,4.86605,841.750866,2
32,36,9.32688,439.160770,1
32,40,8.08346,506.713957,1
32,44,8.08557,506.581576,1
32,48,9.32611,439.196966,1
32,52,8.7552,467.836237,1
32,56,8.08922,506.353135,1
32,60,8.08531,506.597650,1
32,64,8.08573,506.571598,1
64,4,6.45939,1268.230804,32
64,8,7.25731,1128.792617,16
64,12,6.87549,1191.479097,10
64,16,6.42019,1275.974348,8
64,20,6.80774,1203.335491,6
64,24,7.42352,1103.519611,4
64,28,7.4288,1102.735285,4
64,32,7.42698,1103.006092,4
64,36,8.90182,920.260837,2
64,40,8.35584,980.392189,2
64,44,9.40032,871.459690,2
64,48,9.40637,870.899350,2
64,52,8.13466,1007.049351,2
64,56,9.40858,870.694990,2
64,60,9.3985,871.628853,2
64,64,9.40675,870.863856,2
128,4,14.5913,1122.863671,32
128,8,12.7518,1284.834225,32
128,12,14.5442,1126.495318,20
128,16,14.2664,1148.435264,16
128,20,12.5748,1302.918315,12
128,24,11.3428,1444.434436,8
128,28,13.4232,1220.570419,8
128,32,13.4255,1220.363893,8
128,36,14.5367,1127.078045,4
128,40,12.38,1323.428333,4
128,44,12.3876,1322.611210,4
128,48,12.3793,1323.503575,4
128,52,12.3404,1327.673484,4
128,56,12.3697,1324.523860,4
128,60,14.5097,1129.178489,4
128,64,14.5265,1127.870071,4
256,4,25.7714,1271.485846,32
256,8,25.0948,1305.767682,32
256,12,25.0933,1305.845992,32
256,16,25.1359,1303.633225,32
256,20,25.1818,1301.256031,24
256,24,24.8893,1316.550723,16
256,28,24.8828,1316.896166,16
256,32,24.8868,1316.679372,16
256,36,24.5268,1336.005353,8
256,40,22.6798,1444.809431,8
256,44,22.7021,1443.391986,8
256,48,22.6978,1443.666711,8
256,52,22.6837,1444.562814,8
256,56,22.701,1443.459172,8
256,60,22.7029,1443.337053,8
256,64,24.1647,1356.029117,8
