THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,0.397536,5151.734562,16
32,8,0.46688,4386.566201,8
32,12,0.731136,2801.120356,5
32,16,0.862464,2374.591838,4
32,20,0.971936,2107.134653,3
32,24,1.43059,1431.575239,2
32,28,1.55043,1320.922197,2
32,32,1.40752,1455.041434,2
32,36,2.97334,688.786746,1
32,40,2.97472,688.468158,1
32,44,2.83034,723.588977,1
32,48,2.97482,688.445921,1
32,52,2.68653,762.322233,1
32,56,2.9737,688.705236,1
32,60,2.68688,762.222323,1
32,64,2.97738,687.854007,1
64,4,0.448896,9124.608113,32
64,8,0.563584,7267.771591,16
64,12,0.789632,5187.226308,10
64,16,0.919584,4454.188096,8
64,20,0.980864,4175.910267,6
64,24,1.54992,2642.717107,4
64,28,1.45136,2822.180600,4
64,32,1.55382,2636.077276,4
64,36,2.95731,1385.041501,2
64,40,2.95574,1385.776292,2
64,44,2.95834,1384.562078,2
64,48,2.8648,1429.768233,2
64,52,2.95702,1385.176402,2
64,56,2.95571,1385.791271,2
64,60,2.96496,1381.468844,2
64,64,2.95728,1385.056576,2
128,4,0.714176,11470.561892,32
128,8,0.714752,11461.317756,32
128,12,0.864992,9470.607574,20
128,16,1.02886,7962.179445,16
128,20,1.17328,6982.135548,12
128,24,1.66278,4926.677245,8
128,28,1.64899,4967.883583,8
128,32,1.54205,5312.415774,8
128,36,2.75168,2977.090470,4
128,40,3.02285,2710.027198,4
128,44,3.02304,2709.854930,4
128,48,3.01878,2713.675399,4
128,52,3.0167,2715.546429,4
128,56,2.97267,2755.769907,4
128,60,2.7704,2956.973672,4
128,64,3.01648,2715.748185,4
256,4,1.42909,11464.654409,32
256,8,1.42749,11477.504785,32
256,12,1.42726,11479.306061,32
256,16,1.42317,11512.344744,32
256,20,1.4273,11479.048153,24
256,24,1.87117,8756.028239,16
256,28,1.87299,8747.501143,16
256,32,1.78976,9154.300051,16
256,36,3.1849,5144.281019,8
256,40,3.05357,5365.526692,8
256,44,3.1545,5193.856716,8
256,48,3.14778,5204.944882,8
256,52,2.97984,5498.281713,8
256,56,3.18192,5149.092288,8
256,60,3.17357,5162.643418,8
256,64,3.11165,5265.376921,8
