THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,GBps,MaxAttainedOccupancy
32,4,264.169,520.268131,0.709772,32
32,8,261.008,526.569097,0.718368,18
32,12,252.894,543.464214,0.741417,12
32,16,262.404,523.768349,0.714547,9
32,20,288.148,476.972702,0.650706,7
32,24,316.518,434.221052,0.592383,6
32,28,351.885,390.578827,0.532844,5
32,32,425.17,323.256530,0.441000,4
32,36,424.953,323.421677,0.441225,4
32,40,424.863,323.490255,0.441319,4
32,44,546.517,251.481585,0.343082,3
32,48,546.494,251.491949,0.343096,3
32,52,546.138,251.656033,0.343320,3
32,56,803.869,170.971903,0.233247,2
32,60,803.221,171.109655,0.233435,2
32,64,803.748,170.997597,0.233282,2
64,4,159.321,862.653858,1.176869,64
64,8,162.604,845.237044,1.153108,36
64,12,149.807,917.439527,1.251610,24
64,16,135.248,1016.200435,1.386343,18
64,20,148.034,928.431182,1.266605,14
64,24,162.535,845.593805,1.153595,12
64,28,183.793,747.793593,1.020171,10
64,32,218.128,630.082838,0.859586,8
64,36,218.857,627.983842,0.856722,8
64,40,218.885,627.904517,0.856614,8
64,44,281.954,487.451144,0.665001,6
64,48,281.918,487.513144,0.665086,6
64,52,282.009,487.357355,0.664873,6
64,56,412.789,332.952294,0.454228,4
64,60,412.495,333.189508,0.454551,4
64,64,412.795,332.947322,0.454221,4
128,4,72.361,1899.352218,2.591176,64
128,8,98.1576,1400.187002,1.910194,64
128,12,97.8739,1404.244953,1.915730,48
128,16,96.6011,1422.747447,1.940972,36
128,20,78.4292,1752.395557,2.390692,28
128,24,84.3346,1629.686535,2.223287,24
128,28,98.8017,1391.059065,1.897741,20
128,32,116.576,1178.961809,1.608389,16
128,36,117.082,1173.868044,1.601440,16
128,40,117.072,1173.970782,1.601580,16
128,44,148.575,925.046236,1.261987,12
128,48,148.542,925.250253,1.262265,12
128,52,148.538,925.275820,1.262300,12
128,56,215.501,637.765417,0.870066,8
128,60,215.524,637.695701,0.869971,8
128,64,215.486,637.807823,0.870124,8
256,4,56.9692,2412.512662,3.291251,64
256,8,56.958,2412.989794,3.291902,64
256,12,57.643,2384.312606,3.252780,64
256,16,67.6362,2032.031768,2.772183,64
256,20,67.6516,2031.570465,2.771554,56
256,24,66.4965,2066.859547,2.819697,48
256,28,61.1461,2247.713751,3.066426,40
256,32,60.9382,2255.381077,3.076886,32
256,36,61.6735,2228.493808,3.040205,32
256,40,61.6878,2227.975928,3.039498,32
256,44,79.0016,1739.698306,2.373370,24
256,48,78.9955,1739.833730,2.373554,24
256,52,79.0077,1739.563071,2.373185,24
256,56,114.127,1204.264885,1.642909,16
256,60,114.14,1204.124420,1.642717,16
256,64,114.141,1204.113635,1.642702,16
