THREADS_PER_BLOCK,TILE_DIM,SHMEM_KB,ExecutionTime_ms,GFLOPS,GBps,MaxAttainedOccupancy
32,16,0,31.913,4306.68,6.30862,32
32,16,4,40.3855,3403.17,4.98512,23
32,16,8,49.9108,2753.69,4.03373,14
32,16,16,73.8304,1861.55,2.72688,8
32,16,24,95.3293,1441.73,2.11191,6
32,16,32,134.168,1024.38,1.50056,4
32,16,40,166.991,823.033,1.20561,3
32,16,48,175.095,784.94,1.14981,3
32,16,64,255.949,536.978,0.786589,2
32,16,80,496.505,276.813,0.405488,1
32,16,96,496.481,276.826,0.405507,1
64,16,0,31.1839,4407.37,6.45611,40
64,16,4,33.4367,4110.43,6.02113,40
64,16,8,38.7666,3545.29,5.1933,28
64,16,16,47.4429,2896.93,4.24355,16
64,16,24,55.3933,2481.15,3.63449,12
64,16,32,76.2859,1801.63,2.6391,8
64,16,40,93.2506,1473.87,2.15899,6
64,16,48,98.4197,1396.46,2.04559,6
64,16,64,140.125,980.83,1.43676,4
64,16,80,265.75,517.175,0.75758,2
64,16,96,265.759,517.157,0.757554,2
128,16,0,34.9123,3936.7,5.76665,40
128,16,4,35.925,3825.72,5.60408,40
128,16,8,37.5675,3658.45,5.35906,40
128,16,16,45.2608,3036.6,4.44814,32
128,16,24,49.834,2757.94,4.03995,24
128,16,32,66.6378,2062.48,3.02121,16
128,16,40,81.7162,1681.91,2.46373,12
128,16,48,86.8956,1581.66,2.31688,12
128,16,64,120.237,1143.07,1.67441,8
128,16,80,222.043,618.974,0.9067,4
128,16,96,222.026,619.023,0.906771,4
256,16,0,39.8674,3447.4,5.04991,40
256,16,4,40.5852,3386.43,4.96059,40
256,16,8,40.6026,3384.98,4.95846,40
256,16,16,40.6139,3384.04,4.95709,40
256,16,24,43.6173,3151.02,4.61575,40
256,16,32,49.4008,2782.12,4.07537,32
256,16,40,57.9686,2370.92,3.47303,24
256,16,48,59.5866,2306.54,3.37872,24
256,16,64,80.6154,1704.87,2.49737,16
256,16,80,144.792,949.219,1.39046,8
256,16,96,144.792,949.219,1.39046,8
