THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,1.21037,1692.047325,10
32,8,1.21139,1690.617012,10
32,12,1.21242,1689.189116,10
32,16,1.43155,1430.615112,9
32,20,1.29536,1581.027706,7
32,24,1.24109,1650.164973,6
32,28,1.23494,1658.374812,5
32,32,1.64147,1247.660650,4
32,36,1.63942,1249.219264,4
32,40,1.64147,1247.660650,4
32,44,2.07462,987.166802,3
32,48,2.07258,988.142271,3
32,52,2.07667,986.193257,3
32,56,2.53542,807.754445,2
32,60,2.53645,807.428340,2
32,64,2.53645,807.428340,2
32,68,2.5344,808.080812,2
32,72,2.53747,807.102499,2
32,76,2.53542,807.754445,2
32,80,2.53542,807.754445,2
32,84,4.83738,423.370015,1
32,88,4.83328,423.728806,1
32,92,4.8384,423.280433,1
32,96,4.8343,423.639072,1
64,4,2.31629,1768.346600,20
64,8,2.31424,1769.911521,20
64,12,2.31219,1771.479213,20
64,16,2.4105,1699.235347,18
64,20,2.37875,1721.911327,14
64,24,2.26509,1808.318199,12
64,28,2.29069,1788.109045,10
64,32,2.22618,1839.926384,8
64,36,2.25485,1816.530424,8
64,40,2.2569,1814.882017,8
64,44,2.53133,1618.123001,6
64,48,2.52928,1619.433232,6
64,52,2.52928,1619.433232,6
64,56,2.81907,1452.960403,4
64,60,2.81907,1452.960403,4
64,64,2.81805,1453.488372,4
64,68,2.8201,1452.432817,4
64,72,2.8201,1452.432817,4
64,76,2.81805,1453.488372,4
64,80,2.82214,1451.378794,4
64,84,5.04627,811.688344,2
64,88,5.04525,811.853050,2
64,92,5.04525,811.853050,2
64,96,5.0432,812.182739,2
128,4,4.1687,1965.119120,40
128,8,4.49536,1822.323504,40
128,12,4.5015,1819.836237,40
128,16,4.46259,1835.704400,36
128,20,4.4329,1848.001791,28
128,24,4.41549,1855.287668,24
128,28,4.36838,1875.293064,20
128,32,3.93318,2082.790988,16
128,36,4.31514,1898.433812,16
128,40,4.31616,1897.983304,16
128,44,4.30694,1902.044745,12
128,48,4.30694,1902.044745,12
128,52,4.30899,1901.140725,12
128,56,4.14515,1976.284541,8
128,60,4.12672,1985.111686,8
128,64,4.14413,1976.772992,8
128,68,4.28544,1911.589023,8
128,72,4.28032,1913.875523,8
128,76,4.28544,1911.589023,8
128,80,4.28442,1912.045800,8
128,84,5.61562,1458.789245,4
128,88,5.61357,1459.321460,4
128,92,5.61459,1459.055242,4
128,96,5.6105,1460.120448,4
256,4,8.38963,1952.886558,64
256,8,8.60262,1904.535188,64
256,12,8.47155,1934.002200,64
256,16,9.21805,1777.382785,64
256,20,9.15661,1789.308952,56
256,24,9.10643,1799.167893,48
256,28,9.02656,1815.087953,40
256,32,8.1879,2001.000413,32
256,36,8.9129,1838.235262,32
256,40,8.91597,1837.601942,32
256,44,8.75725,1870.907406,24
256,48,8.76442,1869.377319,24
256,52,8.75725,1870.907406,24
256,56,7.94726,2061.589951,16
256,60,7.92474,2067.450569,16
256,64,7.93702,2064.249744,16
256,68,8.59546,1906.123394,16
256,72,8.59443,1906.350557,16
256,76,8.59546,1906.123394,16
256,80,8.60672,1903.628799,16
256,84,8.41728,1946.471974,8
256,88,8.42342,1945.052327,8
256,92,8.42342,1945.052327,8
256,96,8.4224,1945.288644,8
