THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,0.38912,2631.578863,10
32,8,0.387072,2645.502667,10
32,12,0.392192,2610.966017,10
32,16,0.6144,1666.666588,9
32,20,0.62464,1639.344294,7
32,24,0.632832,1618.123001,6
32,28,0.65536,1562.500039,5
32,32,0.91648,1117.318430,4
32,36,0.91648,1117.318430,4
32,40,0.918528,1114.827177,4
32,44,1.18784,862.068976,3
32,48,1.18784,862.068976,3
32,52,1.18579,863.557881,3
32,56,1.4848,689.655181,2
32,60,1.48685,688.705236,2
32,64,1.48582,689.179881,2
32,68,1.48275,690.607751,2
32,72,1.48582,689.179881,2
32,76,1.48685,688.705236,2
32,80,1.48582,689.179881,2
32,84,2.84262,360.230554,1
32,88,2.84262,360.230554,1
32,92,2.84877,359.453631,1
32,96,2.84672,359.712233,1
64,4,0.627712,3262.642682,20
64,8,0.625664,3273.322445,20
64,12,0.62464,3278.688588,20
64,16,0.68608,2985.074718,18
64,20,0.698368,2932.551265,14
64,24,0.697344,2936.857541,12
64,28,0.7424,2758.620725,10
64,32,0.941056,2176.278533,8
64,36,0.939008,2181.025088,8
64,40,0.939008,2181.025088,8
64,44,1.2073,1696.352822,6
64,48,1.21037,1692.047325,6
64,52,1.20934,1693.480060,6
64,56,1.50733,1358.695622,4
64,60,1.50835,1357.773215,4
64,64,1.5104,1355.932152,4
64,68,1.50733,1358.695622,4
64,72,1.50528,1360.544202,4
64,76,1.50733,1358.695622,4
64,80,1.50835,1357.773215,4
64,84,2.88461,709.975143,2
64,88,2.8887,708.968436,2
64,92,2.88768,709.219845,2
64,96,2.88461,709.975143,2
128,4,0.999424,4098.360735,40
128,8,0.996352,4110.996847,40
128,12,0.997376,4106.776079,40
128,16,0.99328,4123.711367,36
128,20,0.999424,4098.360735,28
128,24,1.00557,4073.319644,24
128,28,1.03014,3976.143233,20
128,32,1.09568,3738.317762,16
128,36,1.0967,3734.827243,16
128,40,1.0967,3734.827243,16
128,44,1.30253,3144.654031,12
128,48,1.30048,3149.606280,12
128,52,1.29843,3154.574151,12
128,56,1.6384,2500.000063,8
128,60,1.63942,2498.438527,8
128,64,1.63942,2498.438527,8
128,68,1.6384,2500.000063,8
128,72,1.63738,2501.563552,8
128,76,1.6384,2500.000063,8
128,80,1.63738,2501.563552,8
128,84,2.93786,1394.214031,4
128,88,2.93683,1394.700163,4
128,92,2.93786,1394.214031,4
128,96,2.93888,1393.728239,4
256,4,1.86675,4388.370750,64
256,8,1.87494,4369.197226,64
256,12,1.86368,4395.604384,64
256,16,1.86675,4388.370750,64
256,20,1.86266,4398.020897,56
256,24,1.8647,4393.190524,48
256,28,1.85754,4410.143429,40
256,32,1.86982,4381.160886,32
256,36,1.86573,4390.779315,32
256,40,1.87085,4378.763139,32
256,44,1.92102,4264.392402,24
256,48,1.92102,4264.392402,24
256,52,1.91488,4278.074783,24
256,56,2.19546,3731.343236,16
256,60,2.19341,3734.827243,16
256,64,2.19136,3738.317762,16
256,68,2.19136,3738.317762,16
256,72,2.19853,3726.129396,16
256,76,2.19136,3738.317762,16
256,80,2.19238,3736.571688,16
256,84,3.48058,2353.633396,8
256,88,3.47648,2356.406475,8
256,92,3.47853,2355.019119,8
256,96,3.47955,2354.326053,8
