THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,GBps,MaxAttainedOccupancy
32,4,183.291,749.839101,1.022962,32
32,8,184.495,744.947894,1.016289,25
32,12,185.831,739.591974,1.008982,17
32,16,184.721,744.037035,1.015047,13
32,20,191.3,718.445777,0.980134,10
32,24,194.458,706.780490,0.964220,9
32,28,207.038,663.832935,0.905629,7
32,32,230.877,595.290092,0.812120,6
32,36,230.843,595.377801,0.812239,6
32,40,271.232,506.720452,0.691289,5
32,44,271.238,506.709961,0.691275,5
32,48,342.117,401.731240,0.548059,4
32,52,339.347,405.010420,0.552532,4
32,56,341.081,402.951509,0.549723,4
32,60,446.397,307.885196,0.420030,3
32,64,446.225,308.004038,0.420192,3
64,4,97.2029,1413.939096,1.928955,64
64,8,97.6633,1407.273296,1.919861,50
64,12,97.6604,1407.314413,1.919918,34
64,16,97.6976,1406.778761,1.919187,26
64,20,99.2945,1384.154396,1.888322,20
64,24,102.488,1341.028644,1.829488,18
64,28,107.145,1282.736490,1.749963,14
64,32,119.856,1146.698217,1.564374,12
64,36,119.854,1146.716539,1.564399,12
64,40,140.029,981.505589,1.339011,10
64,44,140.021,981.561208,1.339087,10
64,48,173.436,792.445902,1.081088,8
64,52,172.975,794.561223,1.083974,8
64,56,173.315,792.999856,1.081844,8
64,60,226.86,605.831176,0.826500,6
64,64,226.84,605.884236,0.826573,6
128,4,54.118,2539.615556,3.464650,64
128,8,54.1236,2539.351180,3.464290,64
128,12,54.6112,2516.679198,3.433360,64
128,16,54.5552,2519.265509,3.436888,52
128,20,54.3442,2529.047428,3.450233,40
128,24,54.4556,2523.874069,3.443175,36
128,28,56.6324,2426.860158,3.310825,28
128,32,61.9056,2220.138830,3.028807,24
128,36,61.8621,2221.698438,3.030934,24
128,40,72.4155,1897.922047,2.589225,20
128,44,72.4112,1898.035229,2.589379,20
128,48,90.5605,1517.647763,2.070439,16
128,52,90.5723,1517.450890,2.070170,16
128,56,90.6106,1516.808339,2.069294,16
128,60,118.691,1157.956559,1.579733,12
128,64,118.605,1158.795057,1.580877,12
256,4,33.5699,4094.110298,5.585357,64
256,8,33.6053,4089.798424,5.579475,64
256,12,33.6328,4086.459928,5.574920,64
256,16,33.6028,4090.102067,5.579889,64
256,20,33.6237,4087.556387,5.576416,64
256,24,34.8366,3945.241442,5.382264,64
256,28,34.0156,4040.470314,5.512180,56
256,32,34.4765,3986.448171,5.438480,48
256,36,34.4709,3987.095789,5.439364,48
256,40,38.2509,3593.092477,4.901848,40
256,44,38.2267,3595.369335,4.904954,40
256,48,46.4167,2960.982515,4.039497,32
256,52,46.4613,2958.135445,4.035613,32
256,56,46.4837,2956.709959,4.033668,32
256,60,61.1352,2248.116135,3.066975,24
256,64,61.1245,2248.509121,3.067511,24
