THREADS_PER_BLOCK,TILE_DIM,SHMEM_KB,ExecutionTime_ms,GFLOPS,GBps,MaxAttainedOccupancy
32,8,0,46.6287,2947.52,4.31766,32
32,8,4,47.314,2904.83,4.25512,32
32,8,8,65.0905,2111.5,3.09302,24
32,8,16,111.733,1230.07,1.80186,13
32,8,24,177.366,774.89,1.13509,8
32,8,32,235.983,582.41,0.85314,6
32,8,40,284.484,483.116,0.70769,5
32,8,48,356.513,385.509,0.564711,4
32,8,64,473.923,290.003,0.424809,3
32,8,80,709.608,193.683,0.283715,2
32,8,96,708.878,193.882,0.284007,2
64,8,0,39.6642,3465.06,5.07577,48
64,8,4,39.6935,3462.5,5.07202,48
64,8,8,41.2203,3334.26,4.88417,48
64,8,16,67.6682,2031.07,2.9752,26
64,8,24,104.751,1312.05,1.92195,16
64,8,32,137.924,996.485,1.4597,12
64,8,40,166.226,826.821,1.21116,10
64,8,48,209.075,657.368,0.962941,8
64,8,64,275.017,499.746,0.73205,6
64,8,80,411.197,334.241,0.489611,4
64,8,96,410.072,335.158,0.490954,4
128,8,0,70.7716,1942.01,2.84474,48
128,8,4,70.793,1941.42,2.84388,48
128,8,8,70.8116,1940.91,2.84313,48
128,8,16,74.0889,1855.06,2.71737,48
128,8,24,106.451,1291.1,1.89126,32
128,8,32,139.952,982.042,1.43854,24
128,8,40,167.989,818.141,1.19845,20
128,8,48,212.046,648.157,0.949449,16
128,8,64,278.294,493.863,0.723432,12
128,8,80,412.798,332.945,0.487713,8
128,8,96,412.813,332.933,0.487694,8
256,8,0,141.033,974.519,1.42752,48
256,8,4,141.077,974.213,1.42707,48
256,8,8,141.217,973.248,1.42566,48
256,8,16,140.984,974.855,1.42801,48
256,8,24,141.022,974.596,1.42763,48
256,8,32,143.439,958.169,1.40357,48
256,8,40,172.236,797.967,1.1689,40
256,8,48,217.052,633.208,0.927551,32
256,8,64,283.071,485.528,0.711223,24
256,8,80,415.883,330.475,0.484095,16
256,8,96,418.026,328.781,0.481613,16
