THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,0.904384,35.383199,9
32,8,0.950752,33.657567,9
32,12,0.952128,33.608927,9
32,16,0.951424,33.633795,9
32,20,0.95104,33.647374,9
32,24,0.953376,33.564932,9
32,28,1.10467,28.967876,7
32,32,1.048,30.534352,6
32,36,1.04886,30.509198,6
32,40,1.00058,31.981578,5
32,44,1.0023,31.926443,5
32,48,1.22746,26.070181,4
32,52,1.22893,26.038955,4
32,56,1.22758,26.067462,4
32,60,1.17715,27.184254,3
32,64,1.17642,27.201261,3
32,68,1.17731,27.180560,3
32,72,1.1777,27.171698,3
32,76,1.67293,19.128140,2
32,80,1.67251,19.132896,2
32,84,1.67219,19.136559,2
32,88,1.67498,19.104751,2
32,92,1.67331,19.123750,2
32,96,1.67248,19.133263,2
64,4,1.82346,35.098186,18
64,8,1.89405,33.790063,18
64,12,1.89219,33.823206,18
64,16,1.89293,33.810055,18
64,20,1.89411,33.788921,18
64,24,1.89264,33.815200,18
64,28,2.13018,30.044465,14
64,32,2.09437,30.558145,12
64,36,2.09491,30.550209,12
64,40,1.93955,32.997312,10
64,44,1.94192,32.957073,10
64,48,1.96704,32.536197,8
64,52,2.1473,29.804927,8
64,56,2.14749,29.802260,8
64,60,1.87216,34.185113,6
64,64,1.87194,34.189204,6
64,68,1.89715,33.734778,6
64,72,1.89475,33.777507,6
64,76,2.17981,29.360385,4
64,80,2.1791,29.369868,4
64,84,2.17846,29.378499,4
64,88,2.18189,29.332393,4
64,92,2.17702,29.397932,4
64,96,2.17936,29.366421,4
128,4,3.79565,33.722831,36
128,8,3.83206,33.402366,36
128,12,3.87258,33.052934,36
128,16,3.87475,33.034372,36
128,20,3.86979,33.076713,36
128,24,3.86915,33.082184,36
128,28,3.79504,33.728236,28
128,32,3.78019,33.860715,24
128,36,3.7777,33.883087,24
128,40,3.86582,33.110664,20
128,44,3.86998,33.075073,20
128,48,3.65158,35.053282,16
128,52,4.2936,29.811812,16
128,56,4.2919,29.823594,16
128,60,3.57059,35.848398,12
128,64,3.57418,35.812449,12
128,68,3.76499,33.997416,12
128,72,3.76701,33.979221,12
128,76,3.68688,34.717701,8
128,80,3.68614,34.724633,8
128,84,3.68749,34.711977,8
128,88,3.684,34.744842,8
128,92,3.68454,34.739712,8
128,96,3.68566,34.729157,8
256,4,7.63542,33.527934,64
256,8,7.61686,33.609632,64
256,12,7.60941,33.642565,64
256,16,7.51773,34.052842,64
256,20,7.41328,34.532622,64
256,24,8.03398,31.864638,64
256,28,7.97283,32.109041,56
256,32,7.88006,32.487046,48
256,36,7.88275,32.475968,48
256,40,7.77638,32.920186,40
256,44,7.77312,32.934009,40
256,48,7.25584,35.281925,32
256,52,7.64016,33.507151,32
256,56,7.62746,33.562959,32
256,60,7.29334,35.100497,24
256,64,7.27408,35.193455,24
256,68,7.54285,33.939435,24
256,72,7.5543,33.887966,24
256,76,7.09373,36.088217,16
256,80,7.08822,36.116240,16
256,84,7.09546,36.079428,16
256,88,7.09187,36.097661,16
256,92,7.11498,35.980445,16
256,96,7.11376,35.986595,16
