THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,0.22928,558.269377,9
32,8,0.229504,557.724474,9
32,12,0.229472,557.802268,9
32,16,0.230272,555.864381,9
32,20,0.230272,555.864381,9
32,24,0.22928,558.269377,9
32,28,0.434304,294.724433,7
32,32,0.434272,294.746156,6
32,36,0.43568,293.793609,6
32,40,0.436832,293.018819,5
32,44,0.437696,292.440409,5
32,48,0.638784,200.380726,4
32,52,0.63872,200.400809,4
32,56,0.640448,199.860106,4
32,60,0.652352,196.213095,3
32,64,0.65376,195.790499,3
32,68,0.651808,196.376840,3
32,72,0.651712,196.405774,3
32,76,1.05958,120.802124,2
32,80,1.05984,120.772951,2
32,84,1.06032,120.718271,2
32,88,1.05987,120.769297,2
32,92,1.0591,120.856879,2
32,96,1.05981,120.776592,2
64,4,0.247712,1033.458205,18
64,8,0.24592,1040.988929,18
64,12,0.248928,1028.409840,18
64,16,0.248832,1028.806575,18
64,20,0.245344,1043.432902,18
64,24,0.245504,1042.752839,18
64,28,0.444864,575.456763,14
64,32,0.444736,575.622387,12
64,36,0.446656,573.148030,12
64,40,0.446816,572.942781,10
64,44,0.446784,572.983826,10
64,48,0.648608,394.691383,8
64,52,0.648288,394.886216,8
64,56,0.648,395.061727,8
64,60,0.659488,388.179908,6
64,64,0.660352,387.672034,6
64,68,0.659552,388.142267,6
64,72,0.658336,388.859194,6
64,76,1.06669,239.995213,4
64,80,1.06605,240.139275,4
64,84,1.06778,239.750667,4
64,88,1.06669,239.995213,4
64,92,1.06675,239.980811,4
64,96,1.06726,239.865684,4
128,4,0.306976,1667.882883,36
128,8,0.304928,1679.084873,36
128,12,0.305856,1673.990432,36
128,16,0.308256,1660.957125,36
128,20,0.306784,1668.926650,36
128,24,0.307008,1667.708994,36
128,28,0.486048,1053.393875,28
128,32,0.482688,1060.726576,24
128,36,0.483136,1059.743016,24
128,40,0.480896,1064.679274,20
128,44,0.480896,1064.679274,20
128,48,0.675744,757.683386,16
128,52,0.678048,755.108767,16
128,56,0.677856,755.322633,16
128,60,0.684352,748.153018,12
128,64,0.685376,747.035217,12
128,68,0.684544,747.943127,12
128,72,0.684384,748.118028,12
128,76,1.0865,471.239657,8
128,80,1.08627,471.336829,8
128,84,1.08678,471.114773,8
128,88,1.08691,471.059279,8
128,92,1.08784,470.657466,8
128,96,1.08778,470.685165,8
256,4,0.701568,1459.587651,64
256,8,0.700832,1461.120477,64
256,12,0.702016,1458.656221,64
256,16,0.700256,1462.322372,64
256,20,0.69952,1463.860950,64
256,24,0.703072,1456.465317,64
256,28,0.662432,1545.819008,56
256,32,0.628896,1628.250145,48
256,36,0.626432,1634.654675,48
256,40,0.60112,1703.486838,40
256,44,0.601472,1702.489834,40
256,48,0.774656,1321.877069,32
256,52,0.776256,1319.152402,32
256,56,0.777024,1317.848661,32
256,60,0.759488,1348.276758,24
256,64,0.760928,1345.725264,24
256,68,0.76016,1347.084773,24
256,72,0.761312,1345.046432,24
256,76,1.14362,895.405481,16
256,80,1.14413,895.004782,16
256,84,1.14538,894.029585,16
256,88,1.14435,894.829595,16
256,92,1.14448,894.729492,16
256,96,1.14525,894.129438,16
