THREADS_PER_BLOCK,TILE_DIM,SHMEM_KB,ExecutionTime_ms,GFLOPS,GBps,MaxAttainedOccupancy
32,16,4,104.309,1317.62,1.9301,10
32,16,8,145.379,945.381,1.38483,6
32,16,12,200.721,684.728,1.00302,4
32,16,16,263.843,520.911,0.763054,3
32,16,20,391.354,351.188,0.514436,2
32,16,24,391.316,351.222,0.514486,2
32,16,28,391.395,351.151,0.514382,2
32,16,32,775.226,177.289,0.2597,1
32,16,36,775.248,177.284,0.259693,1
32,16,40,775.352,177.26,0.259658,1
32,16,44,775.179,177.3,0.259716,1
32,16,48,775.263,177.281,0.259688,1
32,16,52,775.319,177.268,0.259669,1
32,16,56,775.252,177.283,0.259692,1
32,16,60,775.475,177.232,0.259617,1
64,16,4,95.6341,1437.13,2.10518,20
64,16,8,105.072,1308.04,1.91608,12
64,16,12,127.149,1080.93,1.58339,8
64,16,16,157.053,875.111,1.2819,6
64,16,20,219.123,627.222,0.918782,4
64,16,24,219.968,624.814,0.915254,4
64,16,28,219.589,625.891,0.916832,4
64,16,32,411.624,333.894,0.489103,2
64,16,36,411.96,333.622,0.488704,2
64,16,40,411.549,333.955,0.489192,2
64,16,44,411.57,333.938,0.489167,2
64,16,48,411.461,334.027,0.489297,2
64,16,52,411.506,333.99,0.489244,2
64,16,56,411.597,333.916,0.489135,2
64,16,60,411.838,333.721,0.488848,2
128,16,4,96.9872,1417.08,2.07581,32
128,16,8,102.285,1343.69,1.9683,24
128,16,12,122.157,1125.1,1.6481,16
128,16,16,145.72,943.17,1.3816,12
128,16,20,199.981,687.26,1.00673,8
128,16,24,199.385,689.314,1.00974,8
128,16,28,199.741,688.084,1.00794,8
128,16,32,371.914,369.545,0.541326,4
128,16,36,371.716,369.742,0.541614,4
128,16,40,371.657,369.801,0.5417,4
128,16,44,371.6,369.857,0.541783,4
128,16,48,372.046,369.414,0.541134,4
128,16,52,371.61,369.848,0.541769,4
128,16,56,371.63,369.827,0.541739,4
128,16,60,371.63,369.827,0.541739,4
256,16,4,107.674,1276.44,1.86979,32
256,16,8,107.959,1273.06,1.86483,32
256,16,12,107.916,1273.57,1.86558,32
256,16,16,118.743,1157.45,1.69549,24
256,16,20,146.782,936.348,1.3716,16
256,16,24,146.651,937.182,1.37283,16
256,16,28,146.882,935.707,1.37066,16
256,16,32,255.138,538.685,0.78909,8
256,16,36,254.938,539.107,0.789708,8
256,16,40,255.003,538.971,0.789508,8
256,16,44,255.151,538.658,0.78905,8
256,16,48,254.773,539.456,0.790219,8
256,16,52,255.066,538.837,0.789312,8
256,16,56,254.765,539.473,0.790244,8
256,16,60,254.785,539.432,0.790184,8
