ai,occ,tpb,measured,hong_kim,hk_error,hk_case,volkov,vk_error,vk_bound
1,24,256,49.749387,43.998656893085474,-11.559398926693357,memory_bound,44.00000000000001,-11.556699181037128,memory
2,24,256,99.014799,87.9959707407533,-11.12846601773812,memory_bound,88.00000000000001,-11.124396667209295,memory
4,24,256,197.792139,175.98656954580483,-11.024487406041535,memory_bound,176.00000000000003,-11.017697220009318,memory
8,24,256,394.632996,351.95165331634246,-10.815452107724296,memory_bound,352.00000000000006,-10.803201058230806,memory
16,32,128,783.699027,703.8630255684858,-10.187074205913772,memory_bound,704.0000000000001,-10.169596267726371,memory
32,32,64,1262.626299,1407.468314275712,11.471487279365778,memory_bound,1408.0000000000002,11.51359678751632,memory
64,16,256,1434.037103,1371.9065271988245,-4.332564036955422,compute_bound,2816.0000000000005,96.36869883693663,memory
128,8,256,1438.072926,1382.5370218445594,-3.861828086139817,compute_bound,3027.3045174973495,110.51119611282839,latency
256,8,128,1444.055509,1388.2051768330666,-3.8676028600596832,compute_bound,3924.052453608248,171.73833894554588,latency
512,8,256,1448.637784,1391.0567189459396,-3.974842137215748,compute_bound,4606.289891085115,217.97388843235606,latency
