THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,6.79754,4.707588,16
32,8,6.66829,4.798833,8
32,12,6.74832,4.741921,5
32,16,6.78282,4.717805,4
32,20,6.81958,4.692368,3
32,24,7.09222,4.511984,2
32,28,7.09408,4.510803,2
32,32,7.0919,4.512187,2
32,36,7.97837,4.010845,1
32,40,7.97363,4.013228,1
32,44,7.97494,4.012567,1
32,48,7.97082,4.014645,1
32,52,7.96755,4.016290,1
32,56,7.97232,4.013888,1
32,60,7.96851,4.015806,1
32,64,7.98502,4.007502,1
64,4,14.164,4.518508,32
64,8,13.5849,4.711104,16
64,12,13.424,4.767569,10
64,16,13.3626,4.789490,8
64,20,13.2968,4.813200,6
64,24,13.4513,4.757894,4
64,28,13.4452,4.760069,4
64,32,13.447,4.759423,4
64,36,14.1071,4.536721,2
64,40,14.0919,4.541615,2
64,44,14.0944,4.540800,2
64,48,14.1008,4.538739,2
64,52,14.0948,4.540676,2
64,56,14.0873,4.543101,2
64,60,14.1071,4.536721,2
64,64,14.0979,4.539677,2
128,4,28.8144,4.442223,32
128,8,28.4978,4.491571,32
128,12,27.6255,4.633405,20
128,16,27.2151,4.703265,16
128,20,26.84,4.768996,12
128,24,26.618,4.808767,8
128,28,26.6113,4.809988,8
128,32,26.6094,4.810334,8
128,36,26.8227,4.772085,4
128,40,26.809,4.774512,4
128,44,26.8104,4.774272,4
128,48,26.8177,4.772974,4
128,52,26.8121,4.773971,4
128,56,26.8186,4.772814,4
128,60,26.8083,4.774637,4
128,64,26.8083,4.774637,4
256,4,57.7636,4.431858,32
256,8,57.7193,4.435261,32
256,12,57.1267,4.481268,32
256,16,57.1189,4.481881,32
256,20,56.0252,4.569368,24
256,24,54.3925,4.706527,16
256,28,54.3927,4.706516,16
256,32,54.4151,4.704576,16
256,36,53.1954,4.812444,8
256,40,53.1948,4.812505,8
256,44,53.1926,4.812699,8
256,48,53.1965,4.812346,8
256,52,53.1958,4.812412,8
256,56,53.1904,4.812896,8
256,60,53.2112,4.811014,8
256,64,53.2087,4.811243,8
