THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,0.411424,155.557280,16
32,8,0.515424,124.169613,8
32,12,0.775872,82.487834,5
32,16,0.911904,70.182828,4
32,20,1.0775,59.396529,3
32,24,1.61997,39.506952,2
32,28,1.57069,40.746475,2
32,32,1.62032,39.498372,2
32,36,2.92454,21.883753,1
32,40,3.09821,20.657103,1
32,44,3.1008,20.639835,1
32,48,2.98125,21.467520,1
32,52,3.09862,20.654329,1
32,56,2.83488,22.575911,1
32,60,3.09754,20.661583,1
32,64,2.8983,22.081880,1
64,4,0.688128,186.011906,32
64,8,0.698368,183.284454,16
64,12,0.894976,143.020592,10
64,16,0.966432,132.445949,8
64,20,1.16688,109.694226,6
64,24,1.54787,82.694179,4
64,28,1.68909,75.780540,4
64,32,1.69472,75.528700,4
64,36,3.16589,40.430993,2
64,40,3.16826,40.400775,2
64,44,3.16394,40.455940,2
64,48,3.16826,40.400775,2
64,52,2.98614,42.864643,2
64,56,3.16768,40.408122,2
64,60,3.16272,40.471493,2
64,64,3.16192,40.481732,2
128,4,1.30032,196.874611,32
128,8,1.29533,197.633338,32
128,12,1.37709,185.899528,20
128,16,1.40125,182.694287,16
128,20,1.44374,177.316761,12
128,24,1.87469,136.556054,8
128,28,1.80925,141.495253,8
128,32,1.88006,136.165577,8
128,36,3.27603,78.143316,4
128,40,3.27021,78.282485,4
128,44,3.27469,78.175386,4
128,48,3.03104,84.459461,4
128,52,3.26771,78.342275,4
128,56,3.27782,78.100595,4
128,60,3.27296,78.216661,4
128,64,3.27853,78.083824,4
256,4,2.61734,195.618161,32
256,8,2.61638,195.689927,32
256,12,2.61734,195.618161,32
256,16,2.61523,195.776131,32
256,20,2.58858,197.792139,24
256,24,2.65037,193.180722,16
256,28,2.66874,191.851125,16
256,32,2.66381,192.206037,16
256,36,3.55917,143.853840,8
256,40,3.63917,140.691498,8
256,44,3.54163,144.566124,8
256,48,3.64029,140.648208,8
256,52,3.63734,140.762055,8
256,56,3.40374,150.422594,8
256,60,3.6352,140.845070,8
256,64,3.63366,140.904612,8
